,0-2,3-6,7-14,15 и ст.
120,7.165447089042772e-10,2.7616682291832946e-09,3.500482576627101e-09,9.533686757958644e-10
121,5.212599127901316e-10,2.0090120301085427e-09,2.546472285597018e-09,6.935406355342845e-10
122,3.7919740848755204e-10,1.4614823368245021e-09,1.8524648985860164e-09,5.04525295773697e-10
123,2.7585216333634614e-10,1.06317462953897e-09,1.3476000582856267e-09,3.6702359030402967e-10
124,2.0067229974183538e-10,7.734204269285335e-10,9.803294618308747e-10,2.669961585039737e-10
125,1.4598171497598967e-10,5.62634905095227e-10,7.131536154400441e-10,1.9422988205424793e-10
126,1.0619632672146125e-10,4.092961931308865e-10,5.187930170591424e-10,1.4129509313612596e-10
127,7.725392054057034e-11,2.977479217772345e-10,3.774028326046602e-10,1.027869817620052e-10
128,5.619938488590518e-11,2.1660065842418405e-10,2.745466754071279e-10,7.477374751835225e-11
129,4.0882984830465194e-11,1.575690098851165e-10,1.9972260530451577e-10,5.4395150262161e-11
130,2.9740867307379296e-11,1.1462565745092769e-10,1.452908472137621e-10,3.957047052265048e-11
131,2.163538674739852e-11,8.338594851638069e-11,1.0569374584267679e-10,2.8786061438149647e-11
132,1.5738947854871897e-11,6.066020963023242e-11,7.68883114420866e-11,2.0940800606518078e-11
133,1.144950550089714e-11,4.412807071038946e-11,5.593341771815839e-11,1.5233661992424873e-11
134,8.32909400449506e-12,3.210154789261766e-11,4.0689503501328185e-11,1.1081928626320872e-11
135,6.059109446279552e-12,2.335269501957635e-11,2.9600116758949795e-11,8.06169535203934e-12
136,4.407779196894747e-12,1.6988226440095087e-11,2.153299590187579e-11,5.864586764683871e-12
137,3.2064971958061766e-12,1.2358309708494684e-11,1.5664462281893053e-11,4.26627110286484e-12
138,2.3326087372879786e-12,8.990215629020017e-12,1.1395319987010024e-11,3.103555263730624e-12
139,1.696887035606537e-12,6.540051104296256e-12,8.289676036722362e-12,2.2577222691174153e-12
140,1.2344228869507375e-12,4.757646558413981e-12,6.030434324981148e-12,1.6424098852170837e-12
141,8.979972336715539e-13,3.461012829076978e-12,4.386919101158211e-12,1.1947927643524108e-12
142,6.532599486013453e-13,2.5177594964155224e-12,3.19132224363739e-12,8.691677775430543e-13
143,4.752225780271361e-13,1.831577400850355e-12,2.3215695178983175e-12,6.322875799541646e-13
144,3.4570694124181673e-13,1.3324051721706219e-12,1.6888564096528202e-12,4.599659514465728e-13
145,2.5148908058814585e-13,9.69275741228733e-13,1.2285809020302356e-12,3.346083067225326e-13
146,1.8294905340309839e-13,7.051124403877666e-13,8.937474045787696e-13,2.4341523231361493e-13
147,1.3308870533390232e-13,5.12943358057555e-13,6.501683542950179e-13,1.7707562583442926e-13
148,9.68171365633002e-14,3.731474209002282e-13,4.729735569144649e-13,1.2881600287140688e-13
149,7.043090477737896e-14,2.714510199562204e-13,3.440708611277834e-13,9.370890272205934e-14
150,5.123589194891113e-14,1.9747062985857902e-13,2.502988924994463e-13,6.816977901525591e-14
151,3.7272226334420635e-14,1.4365261793097323e-13,1.8208323535767875e-13,4.959100614775293e-14
152,2.7114173347650736e-14,1.0450199431277933e-13,1.3245885456082537e-13,3.607563243231436e-14
153,1.9724563532378034e-14,7.602135605071721e-14,9.63589432992024e-14,2.6243695308658765e-14
