,A(H3N2)_0-14,B_0-14
176,1.1674611129295578e-211,0.0015161076930179803
177,6.828815357139035e-213,0.001318149425406321
178,3.994370216266867e-214,0.0011460385741468603
179,2.336421843397065e-215,0.0009964002428271886
180,1.3666402253668346e-216,0.00086630019481144
181,7.993871079361449e-218,0.0007531873164375181
182,4.675844709552169e-219,0.0006548435927548979
183,2.735035814823739e-220,0.0005693406149008741
184,1.5998009684094769e-221,0.0004950017662869401
185,9.357695137003605e-223,0.0004303693461188139
186,5.473584519779945e-224,0.000374175985586756
187,3.2016567135349464e-225,0.0003253197962354113
188,1.8727409183874223e-226,0.0002828427632048681
189,1.0954199209864706e-227,0.00024591195966185397
190,6.407425557639617e-229,0.00021380321405956227
191,3.747887130908145e-230,0.00018588690996122496
192,2.1922467629390245e-231,0.00016161563997927277
193,1.2823080576383517e-232,0.0001405134717387118
194,7.500587897897075e-234,0.00012216661538307303
195,4.3873091537200414e-235,0.00010621530962377577
196,2.566263053732391e-236,9.234676722786991e-05
197,1.5010809195845391e-237,8.028904161340935e-05
198,8.78025315165338e-239,6.980569428351474e-05
199,5.135822085520831e-240,6.0691158533669704e-05
200,3.004089749272655e-241,5.2766708519885505e-05
201,1.7571783192361624e-242,4.5876954645781425e-05
202,1.0278240341784276e-243,3.988679654712656e-05
203,6.0120377854227494e-245,3.467877392534095e-05
204,3.5166134598275887e-246,3.0150763282812664e-05
205,2.0569681472410312e-247,2.6213975395621837e-05
206,1.2031797087558733e-248,2.279121425637925e-05
