,A(H1N1)pdm09_0-14,A(H1N1)pdm09_15 и ст.,A(H3N2)_0-14,A(H3N2)_15 и ст.,B_0-14,B_15 и ст.
107,3.9232125917638314e-11,3.346605882082872e-06,1.0398441546878717e-94,2.0503016444414006e-11,2.4093241309373847e-06,2.752580000412331e-95
108,2.619526852315607e-11,2.566833097720348e-06,1.1717707465040683e-95,1.3689852608025307e-11,1.8479418074788706e-06,3.101803965005167e-96
109,1.7490566135501057e-11,1.968750544193355e-06,1.3204350634306611e-96,9.14070692650792e-12,1.417363849034912e-06,3.4953344991763993e-97
110,1.1678441221909937e-11,1.5100236586100494e-06,1.4879606458257884e-97,6.103244900295663e-12,1.0871123064628312e-06,3.9387928440469306e-98
111,7.797688669242355e-12,1.1581820034472963e-06,1.6767404508064442e-98,4.075133204934442e-12,8.338107167482052e-07,4.438513416052277e-99
112,5.206512361281277e-12,8.883208852130143e-07,1.889471033557874e-99,2.720964160734716e-12,6.395294278504743e-07,5.001634288567377e-100
113,3.476385390337493e-12,6.813385053098768e-07,2.129191065277105e-100,1.816786247628607e-12,4.905164695898411e-07,5.6361991530712244e-101
114,2.3211805799248887e-12,5.225838619189449e-07,2.3993247379458895e-101,1.2130671609703387e-12,3.762241367797895e-07,6.351272216277774e-102
115,1.5498509744039025e-12,4.008196962446781e-07,2.7037306759324854e-102,8.099642646143265e-13,2.8856238244925706e-07,7.157067674438649e-103
116,1.0348346283931252e-12,3.0742707650354047e-07,3.0467570530818914e-103,5.408126862708307e-13,2.2132617348103533e-07,8.065095614245361e-104
117,6.909585023380305e-13,2.357953170789729e-07,3.4333037025942384e-104,3.6110032801314e-13,1.6975627471581276e-07,9.088326424398398e-105
118,4.613526053862874e-13,1.8085404899503732e-07,3.868892106876843e-105,2.411064869617164e-13,1.3020237214662888e-07,1.0241376066319364e-105
119,3.080448764672038e-13,1.387143198732154e-07,4.3597442671140585e-106,1.609866664337892e-13,9.986468977938492e-08,1.1540714850436978e-106
120,2.0568139165103786e-13,1.0639331905926259e-07,4.9128715791380716e-107,1.0749070709809053e-13,7.659581081592637e-08,1.3004902700234507e-107
121,1.3733335011662764e-13,8.16032429153096e-08,5.536174985115085e-108,7.17714849831691e-14,5.8748675307637553e-08,1.4654854264600657e-108
122,9.169740102815838e-14,6.258935535779063e-08,6.238557831626551e-109,4.79217803636468e-14,4.505999497408037e-08,1.6514137665383209e-109
123,6.122630335732564e-14,4.800578094879642e-08,7.030053046224913e-110,3.19973459342473e-14,3.456083284314924e-08,1.8609311147494023e-110
124,4.0880768492576745e-14,3.6820238702410024e-08,7.92196644907023e-111,2.1364609976226818e-14,2.650801819882545e-08,2.0970302440319205e-111
125,2.7296066247704337e-14,2.824097330170481e-08,8.927038246729667e-112,1.4265138126587206e-14,2.0331542125104168e-08,2.363083624928189e-112
126,1.822556816010784e-14,2.1660711639422355e-08,1.0059625014938231e-112,9.524824745082038e-15,1.559421010217811e-08,2.662891598390257e-113
127,1.2169201662406826e-14,1.6613677712654583e-08,1.1335904769786026e-113,6.359720152686987e-15,1.1960695711841376e-08,3.0007366603422883e-114
128,8.125369140725143e-15,1.274262322192642e-08,1.2774108056595485e-114,4.24638158737505e-15,9.173804955421944e-09,3.3814446334070126e-115
129,5.425304428720428e-15,9.773540174810194e-09,1.439477835739195e-115,2.835306609832292e-15,7.0362710821914306e-09,3.810453599581112e-116
130,3.622472731333217e-15,7.49626555576583e-09,1.6221065536661758e-116,1.8931326368923396e-15,5.396791296813065e-09,4.2938915785028e-117
131,2.41872301576035e-15,5.7496051868076026e-09,1.8279056517014907e-117,1.2640436023527055e-15,4.139316970756259e-09,4.838664060878044e-118
132,1.6149800042292368e-15,4.409923789150986e-09,2.0598147908166437e-118,8.44001205996661e-16,3.174839278018484e-09,5.452552647404203e-119
133,1.0783212451634752e-15,3.3823936069108986e-09,2.3211465911917036e-119,5.635391329839928e-16,2.435088811139587e-09,6.144326202162266e-120
134,7.19994492022116e-16,2.5942821370784505e-09,2.6156339501110075e-120,3.7627476376568485e-16,1.8677032123144266e-09,6.9238661082071385e-121
135,4.807399194509933e-16,1.989803845718309e-09,2.947483363151458e-121,2.5123844922219833e-16,1.432520766114117e-09,7.80230741452303e-122
136,3.209897752199027e-16,1.5261714552350724e-09,3.321435010310169e-122,1.6775177196545e-16,1.0987376001807143e-09,8.792197890505365e-123
137,2.1432469330483158e-16,1.1705672977697502e-09,3.7428304653494967e-123,1.1200776427600158e-16,8.427272697244098e-10,9.907677259924015e-124
138,1.4310447779447493e-16,8.978203555752672e-10,4.217688995528499e-124,7.478752153325808e-17,6.46368387702712e-10,1.116467917456901e-124
139,9.555077974940786e-17,6.886245604341622e-10,4.752793541596086e-125,4.9935586280476264e-17,4.957619239710011e-10,1.2581158812596436e-125
140,6.379920217333927e-17,5.28172236559844e-10,5.3557876061951995e-126,3.334196301806837e-17,3.802473789489703e-10,1.417734935261878e-126
141,4.259869159236078e-17,4.0510595686094336e-10,6.0352844346445644e-127,2.2262410050703308e-17,2.916481928249478e-10,1.5976050987048842e-127
142,2.8443122540165314e-17,3.107146209598734e-10,6.800990047650403e-128,1.4864598733946043e-17,2.2369297748525117e-10,1.8002956603001247e-128
143,1.8991457004748475e-17,2.3831685030338213e-10,7.663841883363334e-129,9.925084257184893e-18,1.7157160375840572e-10,2.028701878281974e-129
144,1.2680585215420356e-17,1.8278805472066707e-10,8.636165029161532e-130,6.6269732049516965e-18,1.3159472213727505e-10,2.2860863366513326e-130
145,8.466819652927775e-18,1.4019769439732053e-10,9.731848274795186e-131,4.424826300830226e-18,1.0093261655799036e-10,2.5761255483480675e-131
146,5.653290744659661e-18,1.0753106128494803e-10,1.0966542501658181e-131,2.9544540451573465e-18,7.741490631071943e-11,2.902962471038028e-132
147,3.774699066916244e-18,8.247588657412503e-11,1.2357884242005025e-132,1.9726873127898444e-18,5.937691822003023e-11,3.2712656856569443e-133
148,2.520364454851002e-18,6.325866949422652e-11,1.3925747601461878e-133,1.317162214934626e-18,4.554185473218064e-11,3.6862960830251827e-134
149,1.6828459362366809e-18,4.851914216870285e-11,1.5692528143325398e-134,8.794684738950898e-19,3.4930417317404314e-11,4.1539820110936265e-135
150,1.1236352899905223e-18,3.721398466974797e-11,1.768346278968955e-135,5.872206079140733e-19,2.679148798711204e-11,4.68100395623364e-136
151,7.50250654397703e-19,2.854297485691227e-11,1.992699030890951e-136,3.920868713255408e-19,2.0548962299569438e-11,5.274889968169656e-137
152,5.009419421393659e-19,2.189234560373789e-11,2.245515753865223e-137,2.617961845922587e-19,1.5760970491532715e-11,5.944123191616481e-138
153,3.34478654464907e-19,1.679134002100819e-11,2.53040771470764e-138,1.7480116596446586e-19,1.208860025209983e-11,6.6982630406171346e-139
154,2.23331210429032e-19,1.2878889489711488e-11,2.851444347086175e-139,1.1671464070466154e-19,9.271907217488663e-12,7.548081746451182e-140
155,1.49118124238716e-19,9.878055847876401e-12,3.2132113798384937e-140,7.793030029094557e-20,7.111515118120101e-12,8.505718229581551e-141
156,9.956608811529792e-20,7.576428651842641e-12,3.620876340116614e-141,5.203401789844513e-20,5.4545031662804796e-12,9.58485149356667e-142
157,6.648022132248243e-20,5.811089955398715e-12,4.0802623670140466e-142,3.4743084635210724e-20,4.183581739868182e-12,1.0800896017718993e-142
158,4.4388806578082167e-20,4.4570823565431505e-12,4.597931390038822e-143,2.3197938170472997e-20,3.2087901758600766e-12,1.2171221939523999e-143
159,2.963838131447449e-20,3.4185640362618013e-12,5.181277860564493e-144,1.5489250336042423e-20,2.461129011673276e-12,1.371540317193381e-144
160,1.978953061954889e-20,2.6220247092509473e-12,5.838634375131265e-145,1.0342163782381462e-20,1.8876759401933566e-12,1.5455496999675025e-145
161,1.3213458521461332e-20,2.011082285719105e-12,6.579390699334244e-146,6.905456970549015e-21,1.4478397671490766e-12,1.7416359148360622e-146
162,8.822618861202632e-21,1.5424919321559665e-12,7.414127892451351e-147,4.610769755294246e-21,1.1104872116575116e-12,1.962599882689393e-147
163,5.8908576769377065e-21,1.1830850371771262e-12,8.354769448664499e-148,3.078608385658503e-21,8.517391739302189e-13,2.2115978814636374e-148
164,3.933322374667964e-21,9.074214107791355e-13,9.414751613794841e-149,2.0555850964720327e-21,6.532804815685466e-13,2.492186630823589e-149
165,2.6262771486793185e-21,6.959885307188777e-13,1.0609215310378335e-149,1.3725130187138537e-21,5.010634718480107e-13,2.808374096807051e-150
166,1.7535637826425086e-21,5.338203718119277e-13,1.1955222412564308e-150,9.16426174606995e-22,3.8431364460418034e-13,3.1646767421308375e-151
167,1.1708535564655952e-21,4.094380536229367e-13,1.3471999460135667e-151,6.118972439997688e-22,2.9476700204111007e-13,3.5661840399291858e-152
168,7.817782645021771e-22,3.140373215535515e-13,1.5181212292893373e-152,4.0856344743217336e-22,2.2608509146687392e-13,4.018631172447205e-153
169,5.219929097648812e-22,2.4086534814213963e-13,1.710727552831835e-153,2.727975852392061e-22,1.734063454512998e-13,4.5284809531268834e-154
170,3.485343737694165e-22,1.8474274219582173e-13,1.9277701303129743e-154,1.8214679502061027e-22,1.3300196155207943e-13,5.1030161422713595e-155
171,2.3271620634378974e-22,1.4169693173918526e-13,2.1723492260209215e-155,1.2161931311521002e-22,1.0201196346455974e-13,5.750443474936359e-156
172,1.5538448075963499e-22,1.0868097022732958e-13,2.447958439436733e-156,8.12051473150644e-23,7.824276099732431e-14,6.480010886996668e-157
173,1.0375013085798218e-22,8.335786205515487e-14,2.7585346082618373e-157,5.422063142401202e-23,6.001187939698123e-14,7.302139613859965e-158
174,6.927390432059589e-23,6.393514110034057e-14,3.1085140427176573e-158,3.6203085262714384e-23,4.6028867371909076e-14,8.22857304874315e-159
175,4.625414715272012e-23,4.903799313873685e-14,3.502895894375411e-159,2.4172779772515342e-23,3.530395403093092e-14,9.272544486822049e-160
176,3.0883868172410856e-23,3.7611941253102084e-14,3.947313564684644e-160,1.6140151528254484e-23,2.707798912685671e-14,1.044896615133371e-160
177,2.0621141497682115e-23,2.8848205937475723e-14,4.448115173209175e-161,1.0776770144210364e-23,2.076870750828009e-14,1.1774642201704533e-161
178,1.376872463946387e-23,2.2126456600864005e-14,5.012454234989159e-162,7.19564339515863e-24,1.5929514172700345e-14,1.3268508766340013e-162
179,9.193369737494341e-24,1.6970902203451113e-14,5.648391842276437e-163,4.804527068632571e-24,1.221787256992743e-14,1.495190442873548e-163
180,6.1384078295844094e-24,1.3016612953194478e-14,6.365011810220351e-164,3.207980035357797e-24,9.37105855938857e-15,1.6848875030566553e-164
181,4.098611473073735e-24,9.983689184115115e-15,7.172550431259863e-165,2.1419664745864782e-24,7.18756379401421e-15,1.8986517145606042e-165
182,2.736640587197506e-24,7.657448991026162e-15,8.082542691650566e-166,1.430189816546258e-24,5.5128321913287325e-15,2.139536513069328e-166
183,1.8272533887873544e-24,5.8732322259654496e-15,9.107987038702376e-167,9.549369402466984e-25,4.2283198648003914e-15,2.410982728244202e-167
184,1.2200560652555658e-24,4.504745225275927e-15,1.0263531052284468e-167,6.376108606687395e-25,3.2431041356904397e-15,2.7168677329805873e-168
185,8.146307520900271e-25,3.455121262689474e-15,1.1565680672753292e-168,4.257324148940173e-25,2.487447679275548e-15,3.061560828304464e-169
186,5.439284973447133e-25,2.6500639532078496e-15,1.3033035973942467e-169,2.8426129520660134e-25,1.907862251181165e-15,3.449985655034202e-170
187,3.631807533224349e-25,2.0325882717716898e-15,1.4686556849026506e-170,1.898011077513329e-25,1.4633225855597374e-15,3.8876905237037173e-171
188,2.4249558577597354e-25,1.5589869359729336e-15,1.6549862404349697e-171,1.2673009344255071e-25,1.1223624703950928e-15,4.3809276673487636e-172
189,1.6191416693446239e-25,1.19573663800382e-15,1.8649568337800195e-172,8.461761247989793e-26,8.608474490739352e-16,4.936742549213403e-173
190,1.0810999866323528e-25,9.171251371470773e-16,2.1015667120886022e-173,5.649913250513e-26,6.602664915517312e-16,5.563074501059517e-174
191,7.218498561460385e-26,7.034312493687747e-16,2.368195641508266e-174,3.772443915964392e-26,5.064217130863449e-16,6.26887012960999e-175
192,4.819787450383668e-26,5.395289067397604e-16,2.668652184200708e-175,2.5188586918223188e-26,3.8842339383690283e-16,7.064211111037923e-176
193,3.218169383714074e-26,4.138164766905258e-16,3.007228100336975e-176,1.6818405391049772e-26,2.9791916298433656e-16,7.960458198934852e-177
194,2.1487698967825253e-26,3.1739555423516795e-16,3.3887596521556226e-177,1.1229639868882526e-26,2.2850278608748233e-16,8.970413502786516e-178
195,1.4347324577397107e-26,2.434410989478028e-16,3.8186966857589185e-178,7.498024256919447e-27,1.7526070739023553e-16,1.0108503354962869e-178
196,9.579700592297363e-27,1.8671833258572915e-16,4.3031804774204385e-179,5.006426600833368e-27,1.344242496157838e-16,1.1390984378318171e-179
197,6.396360725165355e-27,1.4321220153163307e-16,4.849131456370774e-180,3.3427882400355945e-27,1.031028526236183e-16,1.2836175697897395e-180
198,4.2708464771158544e-27,1.09843175994089e-16,5.464348057105001e-181,2.231977837418051e-27,7.907946854463512e-17,1.446472061369105e-181
199,2.8516418030225114e-27,8.424926915045953e-17,6.15761811323106e-182,1.490290353143134e-27,6.065363068208067e-17,1.6299881472206014e-182
200,1.9040396362448986e-27,6.461884671623601e-17,6.9388443840232255e-183,9.950660349032392e-28,4.652108799696552e-17,1.8367871948835942e-183
201,1.2713261997173022e-27,4.9562392564845536e-17,7.819186006718169e-184,6.644050347167183e-28,3.568148524801826e-17,2.0698231487395825e-184
202,8.488637921819777e-28,3.8014153479694615e-17,8.811217895076603e-185,4.4362286991320035e-28,2.7367554034583006e-17,2.3324247245363375e-185
203,5.667858790590464e-28,2.915670107909129e-17,9.929110361080132e-186,2.9620674201232416e-28,2.0990802614569385e-17,2.6283429571947825e-186
204,3.7844261430327076e-28,2.2363071119539043e-17,1.1188831525502953e-186,1.9777707589945158e-28,1.609986021575152e-17,2.9618047810776366e-187
