,A(H1N1)pdm09_0-14,A(H3N2)_0-14,B_0-14
85,3.066697751528681e-48,6.807337818465656e-48,1.5431643528286958e-48
86,6.5741664738823536e-49,1.384518958497864e-48,3.0780538399241937e-49
87,1.4093226110977086e-49,2.815921286057269e-49,6.13960232045602e-50
88,3.021204634902293e-50,5.727196901567497e-50,1.2246282428340277e-50
89,6.476641596522483e-51,1.1648331404621957e-50,2.442689696936863e-51
90,1.3884159280446055e-51,2.3691105237671573e-51,4.872281029313293e-52
91,2.9763863887157295e-52,4.81844521662324e-52,9.718435566488488e-53
92,6.380563457960885e-53,9.800055367902817e-53,1.938475824603657e-53
93,1.3678193864685788e-53,1.9931965789011561e-53,3.866557016162402e-54
94,2.932233001561896e-54,4.0538879149143496e-54,7.71238050507617e-55
95,6.285910596461775e-55,8.245050889937125e-55,1.5383405134450664e-55
96,1.3475283855567901e-55,1.6769300386315512e-55,3.0684320278918333e-56
97,2.888734610548532e-56,3.410645236764888e-56,6.120410291156648e-57
98,6.192661868664807e-57,6.936783683927358e-57,1.2208001282607104e-57
99,1.3275383927474424e-57,1.4108464685480827e-57,2.4350539951786736e-58
100,2.8458814990950625e-58,2.86946782328904e-58,4.857050570500382e-59
101,6.100796444862112e-59,5.836103199354269e-59,9.688056318712993e-60
102,1.3078449427173044e-59,1.1869831847242248e-59,1.932416265225036e-60
103,2.80366409476212e-60,2.4141606696981524e-60,3.8544703904057714e-61
104,6.010293804345416e-61,4.910071022169964e-61,7.688272065327852e-62
105,1.2884436363842592e-61,9.986409664178466e-62,1.5335317530945657e-62
106,2.7620729671132844e-62,2.0310984816819e-62,3.058840293067864e-63
107,5.921133730822147e-63,4.1309751762821287e-63,6.101278254991912e-64
108,1.269330139924643e-63,8.401835785396342e-64,1.2169839801443747e-64
109,2.721098825608521e-64,1.708817931660829e-64,2.4274421621670608e-65
110,5.833296307899573e-65,3.475500828808266e-65,4.84186772118993e-66
111,1.2505001838051671e-65,7.06869104498866e-66,9.657772034647359e-67
112,2.680732517528884e-66,1.4376746129747325e-66,1.9263756476662705e-67
113,5.746761914635918e-67,2.9240325820398954e-67,3.842421546717677e-68
114,1.2319495618291966e-67,5.9470804197758784e-68,7.664238987118907e-69
115,2.640965025932002e-68,1.2095544261893274e-68,1.5287380246410385e-69
116,5.66151122115747e-69,2.460067472854737e-69,3.0492785414327346e-70
117,1.213674130197179e-69,5.003439150782459e-70,6.0822060244268635e-71
118,2.6017874676378905e-70,1.0176307606121067e-70,1.2131797610785922e-71
119,5.577525184340722e-71,2.069721113290701e-71,2.4198541232897503e-72
120,1.195669806581013e-71,4.209528301035846e-72,4.826732332557482e-73
121,2.5631910912446433e-72,8.561602045527798e-73,9.627582417440708e-74
122,5.494785043558558e-73,1.7413121932913116e-73,1.9203539127163647e-74
123,1.1779325692121446e-73,3.541589691252784e-74,3.8304103669936333e-75
124,2.525167275173567e-74,7.20310670855656e-75,7.640281034873678e-76
125,5.413272316489536e-75,1.4650129116594267e-75,1.5239592810956754e-76
126,1.1604584559831911e-75,2.979634924440713e-76,3.0397466792607925e-77
127,2.4877075257433053e-76,6.0601679427455756e-77,6.063193412512784e-78
128,5.332968794989351e-77,1.2325548741906579e-77,1.2093874337738664e-78
129,1.143243563562898e-77,2.5068472231198174e-78,2.4122898041677036e-79
130,2.450803475272545e-78,5.0985827338438295e-79,4.811644256243805e-80
131,5.2538565410235326e-79,1.0369816578410582e-79,9.597487171170116e-81
132,1.126284046524217e-79,2.1090781788453898e-80,1.914351001349415e-81
133,2.4144468802108524e-80,4.289575163501667e-81,3.818436733498345e-82
134,5.175917882660492e-81,8.724406362880129e-82,7.616397973752897e-83
135,1.109576116485326e-81,1.7744243540082614e-82,1.5191954756165495e-83
136,2.3786296192972534e-82,3.608935275520817e-83,3.0302446131193633e-84
137,5.099135410124001e-83,7.340078371601224e-84,6.044240232885332e-85
138,1.0931160412633846e-83,1.4928710655103933e-84,1.2056069610572617e-85
139,2.3433436917461182e-84,3.036294580805625e-85,2.4047491306543852e-86
140,5.0234919719042134e-85,6.175405897010752e-86,4.796603344353418e-87
141,1.0769001440408487e-85,1.2559926903639424e-86,9.567486000837666e-88
142,2.308581215459965e-86,2.554516520138802e-87,1.9083668547240262e-88
143,4.948970670926428e-87,5.195535532751531e-88,3.806500528864546e-89
144,1.060924802544151e-87,1.056700524708958e-88,7.59258956965139e-90
145,2.2743344252687702e-88,2.1491836440753447e-89,1.514446561508161e-90
146,4.875554860776635e-89,4.371144168053824e-90,3.0207722498678387e-91
147,1.0451864482345655e-89,8.890306508046887e-91,6.025346299762742e-92
148,2.2405956711954073e-90,1.8081661635564607e-91,1.2018383058720472e-92
149,4.803228141983073e-91,3.677561478978479e-92,2.3972320288350387e-93
150,1.0296815655110712e-91,7.47965463808109e-93,4.7816094494531574e-94
151,2.207357416746803e-92,1.5212589599048101e-93,9.537578612367628e-95
152,4.731974358352958e-93,3.0940316566332564e-94,1.902401414182741e-95
153,1.0144066909250491e-93,6.292835174392496e-95,3.7946016360918576e-96
154,2.1746122372304567e-94,1.2798761915436114e-95,7.568855589195787e-97
155,4.661777593363545e-95,2.603092279209932e-96,1.5097124922209755e-97
156,9.99358412406621e-96,5.294331950897505e-97,3.011329496656764e-98
157,2.142352818095923e-96,1.0767943583929185e-97,6.0065114279439855e-99
158,4.592622166606716e-97,2.1900517402771823e-98,1.1980814312773267e-99
159,9.845333685024692e-98,4.454264259193817e-99,2.3897384250259585e-100
160,2.1105719533009087e-98,9.05936135016625e-100,4.7666624245707266e-101
161,4.524492630286346e-99,1.842549595109573e-100,9.507764712603505e-102
162,9.69928247624963e-100,3.747492653415517e-101,1.8964546212514587e-102
163,2.0792625437015967e-100,7.621885036189824e-102,3.782739938545635e-103
164,4.457373765767583e-101,1.5501866681966e-102,7.545195799742226e-104
165,9.555397873124218e-102,3.1528666397410964e-103,1.5049932213509713e-104
166,2.048417595466857e-102,6.412497444295924e-104,3.001916260926927e-105
167,4.3912505801773567e-103,1.3042138527139994e-104,5.987735432806961e-106
168,9.413647735003535e-104,2.65259173728662e-105,1.1943363004476798e-106
169,2.0180302185159764e-104,5.395007045876108e-106,2.3822682457737728e-107
170,4.3261083030552886e-105,1.0972702891258323e-106,4.751762123193259e-108
171,9.274000398035042e-106,2.2316969693646938e-107,9.4780440093052e-109
172,1.9880936249795715e-106,4.538964931821288e-108,1.8905264176388687e-109
173,4.2619323830543133e-107,9.231630877810595e-109,3.7709153199558293e-110
174,9.136424668085569e-108,1.8775868495187901e-109,7.521609969374074e-111
175,1.9586011276833223e-108,3.8187536136864855e-110,1.500288702639182e-111
176,4.198708484690211e-109,7.766820035931259e-111,2.992532450408447e-112
177,9.000889813773227e-110,1.5796644552909282e-111,5.969018130306694e-113
178,1.9295461386542092e-110,3.2128204075355383e-112,1.1906028766728002e-113
179,4.136422485139392e-111,6.534435168496443e-113,2.3748214178547195e-114
180,8.867365559602717e-112,1.3290143100166686e-113,4.736908399265875e-115
181,1.9009221676489045e-112,2.7030324590939322e-114,9.448416211146145e-116
182,4.075060471084158e-113,5.4975965419241825e-115,1.8846167452358737e-116
183,8.73582207920243e-114,1.118135582726513e-115,3.7591276644158395e-117
184,1.872722820703993e-114,2.2741341090147983e-116,7.498097866899666e-118
185,4.014608735604781e-115,4.625276241700183e-117,1.4955988899712452e-118
186,8.606229988661907e-116,9.407176220273192e-118,2.983177973119875e-119
187,1.8449417987077056e-116,1.9132903596422594e-118,5.950359336973505e-120
188,3.955053775117677e-117,3.8913696465161973e-119,1.1868811233571345e-120
189,8.478560339968114e-118,7.914511067028495e-120,2.3673978682739274e-121
190,1.8175728959928328e-118,1.609702781286671e-120,4.7221011071902535e-122
191,3.896382286359003e-119,3.2739142344201564e-121,9.418881027710428e-123
192,8.352784614539103e-120,6.658691616207166e-122,1.8787255461150198e-123
193,1.790609998950519e-120,1.3542863638149136e-122,3.7473768563813856e-124
194,3.8385811634130053e-121,2.7544323433613702e-123,7.474659261850005e-125
195,8.228874716853585e-122,5.602136842597705e-124,1.4909237373769461e-125
196,1.764047084664614e-122,1.139397643177948e-124,2.97385273736729e-126
197,3.781637494784444e-123,2.317378217911358e-125,5.931758869911245e-127
198,8.10680296817501e-124,4.7132288161239496e-126,1.1831710040195265e-127
199,1.7378782195662906e-124,9.586059669259783e-127,2.359997524264705e-128
200,3.72553856051445e-125,1.949672794756849e-127,4.707340101823201e-129
201,7.986542100368755e-126,3.965366519472652e-128,9.389438169489976e-130
202,1.7120975581086113e-126,8.065010537173582e-129,1.872852762529934e-130
203,3.6702718293391643e-127,1.6403123051881488e-129,3.7356627806693734e-131
204,7.868065249811012e-128,3.3361697993448608e-130,7.451293924476557e-132
205,1.6866993414607641e-128,6.785310879432853e-131,1.486263199029774e-132
206,3.615824955890536e-129,1.380038981816544e-131,2.964556651743402e-133
207,7.751345951388056e-130,2.8068096291741765e-132,5.913216546795485e-134
208,1.661677896221671e-130,5.708665043689445e-133,1.1794724822928572e-134
209,3.562185777938639e-131,1.1610640152545776e-133,2.352620313287826e-135
210,7.636358132584526e-132,2.361444641088698e-134,4.6926252384752435e-136
211,1.6370276331526675e-132,4.8028538647835295e-135,9.360087347881686e-137
212,3.5093423136748897e-133,9.768344700992569e-136,1.8669983369147552e-137
213,7.523076107659389e-134,1.9867470650537965e-136,3.72398532245676e-138
214,1.612743045928996e-134,4.040770490110572e-137,7.428001625748941e-139
215,3.457282759035589e-135,8.218371850624228e-138,1.4816172292464663e-139
216,7.411474571908325e-136,1.6715038886874395e-138,2.955289625126653e-140
217,1.5888187099098144e-136,3.3996091934986115e-139,5.894732185871726e-141
218,3.4059954850651425e-137,6.914337888615843e-140,1.1757855219236896e-141
219,7.301528596011202e-138,1.4062813022560476e-140,2.3452661630308144e-142
220,1.565249280926445e-138,2.860182902445427e-141,4.677956372909187e-143
221,3.3554690353184145e-139,5.817218946392322e-142,9.330828275184627e-144
222,7.193213620463428e-140,1.1831423871995358e-142,1.861162211883567e-144
223,1.5420294940886124e-140,2.4063490153767545e-143,3.7123443672794324e-145
224,3.3056921233016107e-141,4.894183190842026e-144,7.404782137352729e-146
225,7.086505450089893e-142,9.954095998734572e-145,1.4769857824865652e-146
226,1.5191541626083796e-142,2.024526326219853e-145,2.946051566680327e-147
227,3.256653629951123e-143,4.117608315288809e-146,5.876305605953629e-148
228,6.981380248640295e-144,8.374649427154126e-147,1.1721100867719119e-148
229,1.4966181766415343e-144,1.7032886000186187e-147,2.337935001407242e-149
230,3.208342601149781e-145,3.464254928148398e-148,4.663333361338723e-150
231,6.877814533464671e-146,7.0458184285794455e-149,9.30166066459719e-151
232,1.4744165021461637e-146,1.4330226371372617e-149,1.8553443302298398e-151
233,3.160748245279934e-147,2.91457110251117e-150,3.7007398010310915e-152
234,6.775785170267857e-148,5.92783707071301e-151,7.381635231687182e-153
235,1.4525441797581585e-148,1.2056405934527972e-151,1.4723688133519684e-153
236,3.1138599308128513e-149,2.45210727494974e-152,2.936842385851657e-154
237,6.675269367941824e-150,4.987249202219943e-153,5.857936626421226e-155
238,1.430996323683402e-150,1.014337947574225e-153,1.168446140810384e-155
239,3.067667183933871e-151,2.0630239841055302e-154,2.3306267565560173e-156
240,6.5762446734746395e-152,4.19590726066493e-155,4.6487560604270067e-157
241,1.4097681206063924e-152,8.533898721363629e-156,9.272584230214298e-158
242,3.022159686202776e-153,1.7356777178852785e-156,1.8495446349258684e-158
243,6.478688966934958e-154,3.53012994262729e-157,3.689171509962123e-159
244,1.3888548286150509e-154,7.1797991547745555e-158,7.358560681863028e-160
245,2.9773272722488892e-155,1.4602724755377086e-158,1.4677662765864863e-160
246,6.382580456530908e-156,2.969993528850995e-159,2.9276619923709393e-161
247,1.368251776141487e-156,6.040558669140654e-160,5.839625067219161e-162
248,2.933159927500347e-157,1.2285666174312037e-160,1.164793648124586e-162
249,6.287897673742313e-158,2.498735656980345e-161,2.32334135684068e-163
250,1.347954360918471e-158,5.082084923095046e-162,4.634224327285252e-164
251,2.8896477859470747e-159,1.0336262298654637e-162,9.243598687024592e-165
252,6.194619468525071e-160,2.1022536994821324e-163,1.843763069122212e-165
253,1.3279580489513908e-160,4.275695110370358e-164,3.677639380678487e-166
254,2.8467811279369268e-161,8.696176242357646e-165,7.335558261700244e-167
